,title,median,mean,my_status
2789,Maoyuu Maou Yuusha,7.0,6.570889839727319,13789
2811,Yama no Susume,7.0,5.8802774427020505,3316
2888,Cardfight!! Vanguard: Link Joker-hen,7.0,5.930303030303031,660
2900,Rockman.EXE Stream,7.0,5.574821852731591,421
2902,Time Travel Tondekeman!,7.0,5.831081081081081,148
2904,Kiba,7.0,6.610034207525656,4385
2908,Oz no Mahoutsukai (1986),7.0,5.6342592592592595,216
2918,Patalliro!,7.0,5.618421052631579,76
2919,Cyborg 009: The Cyborg Soldier,7.0,6.058739255014327,1396
2925,Haha wo Tazunete Sanzenri,7.0,6.184684684684685,444
2926,Digimon Tamers,7.0,6.276223175965665,11650
2927,Kikou Senki Dragonar,7.0,6.181818181818182,110
2928,Mahou Shoujo-tai Arusu,7.0,6.415584415584416,1001
2930,Uchuu Senkan Yamato 2,7.0,6.563739376770538,353
2934,Uchuu Senkan Yamato III,7.0,6.379464285714286,224
2941,Digimon Savers,7.0,5.801710191818812,4327
2945,Kurogane Communication,7.0,5.670731707317073,246
2946,Toushou Daimos,7.0,5.797058823529412,680
2947,Cinderella Monogatari,7.0,6.1624790619765495,597
2949,Dragon Quest: Abel Yuusha Densetsu,7.0,5.511278195488722,133
2958,Rockman.EXE,7.0,5.625388198757764,2576
2959,Zoids Shinseiki/Zero,7.0,6.215201900237529,2105
2960,Zoids,7.0,6.277116189250081,3107
2968,Yuki no Joou (TV),7.0,5.909090909090909,110
2969,Bomberman Jetters,7.0,5.9,140
2976,Sei Juushi Bismarck,7.0,5.892276422764228,492
2977,Gun Frontier,7.0,5.898710865561695,543
2981,Chikyuu Shoujo Arjuna,7.0,6.1777546777546775,1924
3001,.hack//Roots,7.0,6.079938212010041,5179
3006,Heisei Inu Monogatari Bow,7.0,5.320754716981132,53
3016,Seisenshi Dunbine,7.0,6.302631578947368,228
3019,Transformers Galaxy Force,7.0,5.493647912885662,551
3028,Uchuu Senkan Yamato,7.0,6.703125,704
3030,Grander Musashi RV,7.0,5.7368421052631575,133
3033,Virtua Fighter,7.0,5.724789915966387,476
3034,Shin Chou Kyou Ryo: Condor Hero II,7.0,6.273109243697479,238
3035,Super Fishing Grander Musashi,7.0,5.484978540772532,233
3036,Shin Chou Kyou Ryo: Condor Hero,7.0,6.33630289532294,449
